epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,adaptor_loss_ssim,adaptor_loss_psnr,adaptor_loss_ber,duration
83,2084.3949,0.2847,0.1371,0.1908,11.7162,0.0001,0.0001,0.7648,99.7556,0.3052,306
84,2075.6430,0.2891,0.1364,0.1890,11.4192,0.0019,0.0012,0.7730,99.7574,0.3039,306
85,2066.1941,0.2881,0.1358,0.1880,11.5768,0.0004,0.0004,0.7725,99.7566,0.3028,307
86,2069.5823,0.2887,0.1360,0.1896,11.9736,0.0001,0.0001,0.7737,99.7570,0.3031,306
87,2046.0461,0.2836,0.1345,0.1867,12.2214,0.0005,0.0007,0.7687,99.7556,0.3005,308
88,2048.4654,0.2904,0.1346,0.1869,10.9405,0.0021,0.0023,0.7742,99.7576,0.3008,306
89,2029.5505,0.2881,0.1334,0.1850,11.6935,0.0001,0.0002,0.7725,99.7572,0.2995,307
90,2007.4647,0.3013,0.1318,0.1809,12.2190,0.0001,0.0001,0.7849,99.7609,0.2974,306
91,1981.8886,0.3023,0.1301,0.1778,12.6845,0.0000,0.0000,0.7864,99.7613,0.2945,307
92,1969.8287,0.3055,0.1293,0.1766,12.8708,0.0000,0.0000,0.7944,99.7621,0.2930,308
93,1962.7723,0.3026,0.1288,0.1761,13.0698,0.0000,0.0000,0.7931,99.7613,0.2925,307
94,1956.6431,0.3009,0.1284,0.1748,13.2120,0.0000,0.0000,0.7927,99.7607,0.2917,307
95,1935.0532,0.2975,0.1270,0.1727,13.4068,0.0000,0.0000,0.7865,99.7605,0.2897,308
96,1905.6028,0.3064,0.1250,0.1676,13.7978,0.0000,0.0000,0.7991,99.7626,0.2873,310
97,1898.2069,0.3126,0.1245,0.1668,12.3101,0.0006,0.0005,0.8015,99.7638,0.2861,308
98,1883.9551,0.3130,0.1235,0.1667,12.3146,0.0011,0.0008,0.8034,99.7646,0.2844,308
99,1876.9205,0.3159,0.1230,0.1648,12.4222,0.0000,0.0001,0.8060,99.7657,0.2835,307
100,1882.1203,0.3128,0.1234,0.1653,12.6777,0.0013,0.0008,0.8055,99.7653,0.2838,308
101,0.2072,0.2851,0.1268,0.1719,13.2230,0.0001,0.0001,0.7722,99.7577,0.2879,628
102,0.2039,0.2778,0.1274,0.1721,13.3498,0.0000,0.0000,0.7592,99.7552,0.2888,308
103,0.1970,0.2649,0.1263,0.1709,13.4764,0.0001,0.0001,0.7510,99.7514,0.2871,309
104,0.1911,0.2516,0.1278,0.1732,14.1377,0.0000,0.0001,0.7362,99.7475,0.2892,308
105,0.1839,0.2375,0.1277,0.1738,13.0768,0.0051,0.0035,0.7139,99.7433,0.2893,308
106,0.1743,0.2185,0.1274,0.1734,13.3800,0.0002,0.0005,0.6969,99.7366,0.2887,306
107,0.1651,0.1988,0.1285,0.1749,13.9317,0.0001,0.0001,0.6707,99.7291,0.2906,307
108,0.1550,0.1780,0.1293,0.1767,13.3974,0.0046,0.0029,0.6428,99.7204,0.2914,306
109,0.1452,0.1569,0.1309,0.1790,13.2241,0.0006,0.0008,0.6118,99.7101,0.2937,305
110,0.1359,0.1370,0.1323,0.1823,12.6717,0.0029,0.0020,0.5794,99.6991,0.2960,305
111,0.1271,0.1189,0.1329,0.1838,12.5208,0.0034,0.0058,0.5437,99.6868,0.2970,309
112,0.1201,0.1031,0.1348,0.1869,12.1626,0.0013,0.0011,0.5130,99.6749,0.2997,305
113,0.1136,0.0889,0.1360,0.1891,11.2705,0.0094,0.0084,0.4837,99.6618,0.3015,306
114,0.1087,0.0779,0.1374,0.1928,10.8039,0.0068,0.0070,0.4560,99.6505,0.3039,306
115,0.1040,0.0672,0.1390,0.1964,9.2131,0.0276,0.0194,0.4321,99.6379,0.3066,309
116,0.1007,0.0599,0.1397,0.1973,8.9981,0.0158,0.0145,0.4109,99.6274,0.3083,306
117,0.0985,0.0536,0.1416,0.2011,8.6252,0.0225,0.0278,0.3909,99.6180,0.3121,305
118,0.0960,0.0490,0.1413,0.2008,8.6443,0.0233,0.0292,0.3752,99.6095,0.3123,308
119,0.0942,0.0457,0.1410,0.1994,8.3713,0.0325,0.0350,0.3654,99.6033,0.3125,307
120,0.0927,0.0422,0.1416,0.2024,7.8323,0.0376,0.0360,0.3516,99.5961,0.3140,306
121,0.0907,0.0386,0.1412,0.2010,8.0255,0.0432,0.0394,0.3362,99.5880,0.3137,307
122,0.0890,0.0354,0.1411,0.2009,8.0752,0.0309,0.0329,0.3203,99.5803,0.3136,308
123,0.0878,0.0321,0.1420,0.2022,7.7873,0.0542,0.0523,0.3076,99.5714,0.3150,307
124,0.0869,0.0301,0.1422,0.2029,7.4036,0.0415,0.0463,0.2943,99.5654,0.3151,308
125,0.0859,0.0285,0.1419,0.2013,7.6090,0.0397,0.0438,0.2857,99.5596,0.3150,307
126,0.0841,0.0254,0.1412,0.1997,7.6623,0.0402,0.0517,0.2698,99.5500,0.3139,308
127,0.0836,0.0243,0.1414,0.2011,7.8424,0.0272,0.0282,0.2623,99.5457,0.3139,305
128,0.0832,0.0240,0.1409,0.1998,7.4471,0.0528,0.0593,0.2597,99.5433,0.3128,304
129,0.0818,0.0220,0.1401,0.1974,7.8371,0.0496,0.0451,0.2502,99.5365,0.3118,307
130,0.0814,0.0215,0.1399,0.1973,7.4478,0.0586,0.0555,0.2476,99.5337,0.3112,307
131,0.0806,0.0213,0.1385,0.1935,7.2938,0.0552,0.0523,0.2466,99.5326,0.3095,308
132,0.0790,0.0204,0.1363,0.1879,6.8890,0.0593,0.0623,0.2424,99.5283,0.3059,309
133,0.0793,0.0197,0.1375,0.1903,6.6289,0.0730,0.0666,0.2368,99.5244,0.3074,305
134,0.0779,0.0192,0.1353,0.1852,6.7042,0.0769,0.0619,0.2350,99.5223,0.3036,309
135,0.0781,0.0189,0.1359,0.1866,6.5645,0.0861,0.0738,0.2324,99.5209,0.3046,306
136,0.0775,0.0187,0.1351,0.1859,6.3946,0.0823,0.0751,0.2325,99.5195,0.3036,307
137,0.0764,0.0175,0.1340,0.1827,6.1916,0.0871,0.0949,0.2253,99.5139,0.3014,310
138,0.0766,0.0183,0.1336,0.1817,6.4333,0.0830,0.0966,0.2294,99.5154,0.3010,309
139,0.0749,0.0169,0.1316,0.1787,5.8868,0.0995,0.0803,0.2244,99.5108,0.2978,309
140,0.0746,0.0164,0.1317,0.1787,5.8423,0.1016,0.0954,0.2176,99.5071,0.2979,309
141,0.0744,0.0159,0.1317,0.1797,6.1967,0.0759,0.0831,0.2175,99.5046,0.2978,307
142,0.0742,0.0153,0.1318,0.1787,5.8582,0.0906,0.1043,0.2131,99.5011,0.2982,308
143,0.0742,0.0162,0.1309,0.1773,6.0411,0.0940,0.1007,0.2171,99.5050,0.2968,306
144,0.0738,0.0154,0.1310,0.1788,6.0233,0.0826,0.0692,0.2113,99.5004,0.2968,306
145,0.0730,0.0151,0.1298,0.1760,5.7400,0.0918,0.0954,0.2080,99.4995,0.2950,307
146,0.0732,0.0144,0.1309,0.1793,6.2131,0.0768,0.0912,0.2051,99.4965,0.2963,306
147,0.0724,0.0140,0.1294,0.1750,6.5280,0.0689,0.0787,0.2018,99.4948,0.2944,306
148,0.0722,0.0139,0.1292,0.1751,5.9137,0.0930,0.0891,0.2012,99.4944,0.2938,308
149,0.0725,0.0139,0.1299,0.1763,6.1089,0.0761,0.0747,0.1992,99.4919,0.2950,308
150,0.0716,0.0129,0.1291,0.1751,6.3305,0.0857,0.0762,0.1935,99.4881,0.2937,306
151,0.0717,0.0131,0.1291,0.1759,5.9602,0.0792,0.0672,0.1922,99.4880,0.2937,308
152,0.0712,0.0127,0.1285,0.1741,5.9572,0.0774,0.0779,0.1899,99.4858,0.2928,310
153,0.0706,0.0121,0.1279,0.1731,6.1334,0.0672,0.0649,0.1840,99.4824,0.2920,313
154,0.0709,0.0121,0.1286,0.1747,6.1095,0.0752,0.0902,0.1862,99.4821,0.2930,313
155,0.0708,0.0121,0.1281,0.1735,6.2374,0.0772,0.0721,0.1830,99.4816,0.2924,311
156,0.0704,0.0118,0.1278,0.1734,6.3614,0.0760,0.0659,0.1818,99.4801,0.2920,312
157,0.0702,0.0117,0.1276,0.1723,5.7484,0.1123,0.0882,0.1808,99.4798,0.2915,312
158,0.0701,0.0113,0.1276,0.1727,6.2089,0.0736,0.0689,0.1787,99.4755,0.2916,312
159,0.0700,0.0115,0.1273,0.1728,6.3740,0.0524,0.0557,0.1797,99.4773,0.2912,313
160,0.0692,0.0107,0.1265,0.1718,6.3667,0.0637,0.0701,0.1735,99.4726,0.2898,313
161,0.0693,0.0109,0.1265,0.1720,6.3889,0.0715,0.0638,0.1755,99.4740,0.2899,314
162,0.0692,0.0107,0.1265,0.1711,6.2692,0.0582,0.0710,0.1722,99.4713,0.2898,314
163,0.0690,0.0107,0.1260,0.1711,6.6241,0.0561,0.0629,0.1722,99.4715,0.2894,312
164,0.0691,0.0103,0.1267,0.1721,6.2021,0.0793,0.0795,0.1695,99.4686,0.2902,313
165,0.0690,0.0104,0.1262,0.1723,6.5791,0.0576,0.0537,0.1696,99.4683,0.2895,312
166,0.0689,0.0101,0.1264,0.1723,6.5945,0.0524,0.0637,0.1677,99.4672,0.2896,312
167,0.0685,0.0099,0.1258,0.1711,6.3900,0.0586,0.0677,0.1656,99.4664,0.2885,313
168,0.0683,0.0093,0.1260,0.1706,6.5040,0.0600,0.0630,0.1618,99.4624,0.2892,310
169,0.0679,0.0094,0.1250,0.1698,6.5126,0.0585,0.0549,0.1625,99.4621,0.2876,311
170,0.0676,0.0094,0.1245,0.1690,6.3710,0.0664,0.0520,0.1614,99.4621,0.2869,313
171,0.0679,0.0091,0.1254,0.1701,6.5317,0.0537,0.0510,0.1602,99.4593,0.2882,314
172,0.0677,0.0091,0.1249,0.1703,6.6705,0.0543,0.0573,0.1597,99.4597,0.2873,312
173,0.0674,0.0089,0.1246,0.1691,6.2713,0.0722,0.0823,0.1575,99.4577,0.2868,310
174,0.0676,0.0088,0.1250,0.1706,6.6903,0.0452,0.0409,0.1562,99.4565,0.2876,313
175,0.0673,0.0089,0.1244,0.1685,6.6287,0.0682,0.0661,0.1567,99.4569,0.2867,313
176,0.0677,0.0088,0.1252,0.1712,6.7624,0.0634,0.0684,0.1573,99.4575,0.2879,311
177,0.0670,0.0084,0.1243,0.1690,6.6178,0.0560,0.0517,0.1526,99.4527,0.2862,312
178,0.0673,0.0083,0.1251,0.1707,6.6324,0.0750,0.0760,0.1524,99.4523,0.2877,311
179,0.0666,0.0083,0.1237,0.1683,6.3828,0.0630,0.0719,0.1541,99.4528,0.2855,308
180,0.0666,0.0080,0.1239,0.1686,6.3899,0.0674,0.0697,0.1490,99.4497,0.2857,307
181,0.0665,0.0083,0.1235,0.1678,6.4283,0.0800,0.0645,0.1506,99.4511,0.2849,308
182,0.0665,0.0084,0.1232,0.1677,6.7058,0.0463,0.0588,0.1519,99.4534,0.2845,311
183,0.0664,0.0081,0.1233,0.1678,6.8266,0.0607,0.0553,0.1494,99.4499,0.2850,308
184,0.0665,0.0080,0.1236,0.1677,6.5143,0.0678,0.0671,0.1491,99.4492,0.2853,306
185,0.0662,0.0082,0.1229,0.1675,6.6409,0.0579,0.0616,0.1492,99.4509,0.2843,305
186,0.0657,0.0080,0.1220,0.1654,6.9497,0.0523,0.0594,0.1484,99.4497,0.2835,304
187,0.0661,0.0079,0.1228,0.1664,6.8803,0.0609,0.0685,0.1476,99.4485,0.2849,305
188,0.0655,0.0080,0.1216,0.1641,7.0759,0.0483,0.0480,0.1471,99.4491,0.2831,305
189,0.0652,0.0078,0.1212,0.1634,7.0732,0.0366,0.0455,0.1444,99.4476,0.2822,305
190,0.0652,0.0085,0.1205,0.1613,6.8960,0.0510,0.0498,0.1500,99.4532,0.2813,307
191,0.0642,0.0081,0.1190,0.1588,6.7567,0.0684,0.0706,0.1463,99.4496,0.2789,304
192,0.0643,0.0080,0.1191,0.1593,7.2965,0.0402,0.0407,0.1459,99.4488,0.2789,302
193,0.0646,0.0080,0.1199,0.1609,6.7933,0.0541,0.0566,0.1450,99.4494,0.2803,302
194,0.0643,0.0077,0.1195,0.1600,7.1792,0.0441,0.0431,0.1432,99.4466,0.2797,302
195,0.0636,0.0077,0.1181,0.1573,7.1927,0.0573,0.0506,0.1423,99.4470,0.2774,304
196,0.0643,0.0076,0.1195,0.1603,7.2296,0.0423,0.0542,0.1439,99.4458,0.2794,301
197,0.0635,0.0078,0.1179,0.1577,6.7114,0.0509,0.0498,0.1443,99.4473,0.2772,303
198,0.0637,0.0077,0.1182,0.1582,7.4798,0.0382,0.0371,0.1415,99.4455,0.2779,302
199,0.0641,0.0079,0.1188,0.1594,7.2990,0.0484,0.0433,0.1443,99.4483,0.2786,306
200,0.0636,0.0079,0.1178,0.1577,7.3015,0.0455,0.0471,0.1447,99.4480,0.2775,304
