epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,adaptor_loss_ssim,adaptor_loss_psnr,adaptor_loss_ber,duration
185,0.0403,0.0101,0.0690,0.0616,7.8573,0.0319,0.0319,0.1398,99.4727,0.2028,397
186,0.0404,0.0100,0.0692,0.0623,7.7562,0.0356,0.0425,0.1384,99.4718,0.2031,392
187,0.0403,0.0098,0.0691,0.0624,8.0471,0.0255,0.0311,0.1370,99.4698,0.2030,395
188,0.0398,0.0096,0.0684,0.0608,8.2389,0.0232,0.0224,0.1347,99.4684,0.2019,393
189,0.0400,0.0094,0.0689,0.0622,8.2456,0.0213,0.0211,0.1339,99.4673,0.2027,393
190,0.0399,0.0095,0.0687,0.0619,8.3585,0.0304,0.0416,0.1348,99.4674,0.2023,387
191,0.0401,0.0096,0.0691,0.0623,8.0297,0.0330,0.0374,0.1351,99.4681,0.2028,388
192,0.0398,0.0095,0.0685,0.0610,8.2930,0.0225,0.0273,0.1365,99.4677,0.2019,388
193,0.0398,0.0093,0.0687,0.0609,8.4477,0.0226,0.0240,0.1324,99.4653,0.2021,393
194,0.0397,0.0094,0.0683,0.0612,8.5135,0.0176,0.0136,0.1338,99.4672,0.2014,394
195,0.0398,0.0094,0.0687,0.0619,8.2467,0.0149,0.0194,0.1335,99.4664,0.2019,397
196,0.0397,0.0090,0.0686,0.0617,8.6179,0.0179,0.0214,0.1299,99.4634,0.2019,392
197,0.0394,0.0090,0.0681,0.0608,8.6921,0.0100,0.0094,0.1307,99.4635,0.2008,394
198,0.0397,0.0094,0.0684,0.0618,8.4500,0.0177,0.0215,0.1343,99.4666,0.2013,399
199,0.0397,0.0091,0.0684,0.0615,9.1761,0.0090,0.0102,0.1313,99.4642,0.2014,392
200,0.0392,0.0090,0.0676,0.0598,8.9568,0.0189,0.0183,0.1294,99.4625,0.1999,385
