epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,adaptor_loss_ssim,adaptor_loss_psnr,adaptor_loss_ber,duration
114,0.0906,0.0490,0.1305,0.1685,7.9229,0.0243,0.0247,0.3331,99.6037,0.2994,234
115,0.0870,0.0418,0.1308,0.1681,7.5545,0.0276,0.0251,0.3056,99.5915,0.3005,234
116,0.0846,0.0377,0.1298,0.1671,7.8398,0.0192,0.0162,0.2898,99.5832,0.2996,234
117,0.0823,0.0339,0.1292,0.1667,8.0568,0.0149,0.0148,0.2727,99.5750,0.2986,234
118,0.0815,0.0311,0.1302,0.1686,7.7543,0.0264,0.0301,0.2594,99.5684,0.2997,235
119,0.0795,0.0282,0.1293,0.1667,7.3301,0.0453,0.0302,0.2440,99.5612,0.2985,235
120,0.0771,0.0256,0.1272,0.1636,7.2938,0.0285,0.0267,0.2297,99.5530,0.2952,234
121,0.0771,0.0246,0.1282,0.1647,6.9775,0.0411,0.0463,0.2240,99.5493,0.2967,235
122,0.0767,0.0227,0.1293,0.1676,6.7291,0.0350,0.0390,0.2112,99.5438,0.2982,235
123,0.0738,0.0210,0.1252,0.1601,6.9122,0.0418,0.0425,0.1975,99.5375,0.2922,235
124,0.0736,0.0203,0.1254,0.1604,6.8651,0.0338,0.0304,0.1948,99.5347,0.2925,233
125,0.0726,0.0193,0.1244,0.1588,6.8336,0.0358,0.0382,0.1868,99.5300,0.2911,236
126,0.0722,0.0191,0.1239,0.1580,6.9005,0.0284,0.0233,0.1816,99.5292,0.2904,235
127,0.0714,0.0190,0.1225,0.1562,7.0207,0.0250,0.0290,0.1797,99.5288,0.2884,232
128,0.0707,0.0185,0.1214,0.1538,7.3398,0.0122,0.0125,0.1762,99.5269,0.2866,231
129,0.0708,0.0184,0.1219,0.1555,6.7046,0.0362,0.0316,0.1743,99.5265,0.2875,233
130,0.0703,0.0182,0.1210,0.1525,7.0077,0.0217,0.0318,0.1682,99.5257,0.2863,233
131,0.0695,0.0180,0.1196,0.1504,6.8122,0.0254,0.0272,0.1691,99.5244,0.2840,233
132,0.0687,0.0178,0.1181,0.1469,6.9285,0.0280,0.0283,0.1695,99.5240,0.2822,233
133,0.0681,0.0174,0.1174,0.1464,6.4253,0.0608,0.0619,0.1651,99.5216,0.2813,233
134,0.0666,0.0173,0.1147,0.1402,6.3318,0.0530,0.0574,0.1658,99.5210,0.2773,234
135,0.0659,0.0167,0.1139,0.1392,6.3506,0.0437,0.0437,0.1625,99.5180,0.2761,236
136,0.0650,0.0166,0.1122,0.1357,6.4434,0.0574,0.0607,0.1633,99.5175,0.2735,233
137,0.0660,0.0171,0.1134,0.1385,7.0896,0.0383,0.0461,0.1624,99.5198,0.2752,234
138,0.0650,0.0166,0.1119,0.1353,7.1736,0.0403,0.0355,0.1614,99.5173,0.2727,234
139,0.0642,0.0164,0.1106,0.1322,6.7739,0.0444,0.0476,0.1594,99.5156,0.2711,234
140,0.0641,0.0163,0.1104,0.1323,6.8670,0.0462,0.0430,0.1607,99.5152,0.2709,235
141,0.0637,0.0161,0.1099,0.1310,7.4350,0.0226,0.0237,0.1582,99.5142,0.2698,235
142,0.0632,0.0158,0.1092,0.1306,7.2755,0.0287,0.0300,0.1565,99.5126,0.2687,233
143,0.0639,0.0162,0.1101,0.1329,7.4957,0.0212,0.0189,0.1559,99.5145,0.2701,235
144,0.0629,0.0157,0.1087,0.1297,7.3824,0.0295,0.0300,0.1551,99.5114,0.2680,234
145,0.0629,0.0157,0.1085,0.1290,7.8288,0.0149,0.0155,0.1552,99.5115,0.2677,235
146,0.0627,0.0155,0.1084,0.1284,7.9703,0.0189,0.0175,0.1526,99.5107,0.2677,234
147,0.0618,0.0153,0.1067,0.1259,7.6778,0.0272,0.0302,0.1526,99.5096,0.2651,234
148,0.0621,0.0153,0.1072,0.1261,7.9654,0.0154,0.0128,0.1505,99.5094,0.2656,235
149,0.0616,0.0152,0.1065,0.1252,7.7233,0.0166,0.0165,0.1519,99.5093,0.2646,234
150,0.0615,0.0149,0.1065,0.1258,7.6222,0.0296,0.0296,0.1481,99.5069,0.2647,235
151,0.0612,0.0145,0.1062,0.1253,8.3081,0.0056,0.0060,0.1467,99.5051,0.2642,235
152,0.0608,0.0142,0.1057,0.1241,8.2682,0.0141,0.0127,0.1409,99.5030,0.2634,235
153,0.0610,0.0147,0.1056,0.1236,8.5508,0.0078,0.0081,0.1442,99.5061,0.2634,237
154,0.0606,0.0147,0.1050,0.1229,8.2091,0.0165,0.0153,0.1430,99.5055,0.2624,236
155,0.0603,0.0142,0.1046,0.1225,8.6717,0.0035,0.0039,0.1405,99.5025,0.2616,234
156,0.0598,0.0140,0.1037,0.1206,8.9059,0.0086,0.0065,0.1409,99.5020,0.2604,236
157,0.0599,0.0141,0.1040,0.1210,8.3154,0.0083,0.0089,0.1387,99.5024,0.2610,233
158,0.0594,0.0137,0.1034,0.1205,8.5046,0.0087,0.0128,0.1380,99.5000,0.2597,235
159,0.0597,0.0137,0.1038,0.1210,8.8035,0.0056,0.0066,0.1374,99.4997,0.2602,235
160,0.0598,0.0139,0.1038,0.1216,9.2197,0.0036,0.0028,0.1394,99.5012,0.2601,234
161,0.0590,0.0137,0.1027,0.1194,8.4920,0.0219,0.0218,0.1348,99.4991,0.2585,234
162,0.0593,0.0139,0.1031,0.1201,8.5260,0.0047,0.0049,0.1374,99.5003,0.2591,235
